Date,Item Code,Sales Qty,Price in USD,Purchase Date,ItemCode,Item Description,Purchase Qty,Purchase Amount,Supplier,Code,Group,Category,"Quantity
On Hand","Retail
Price","Opening
Cost USD",Color,Size,month_name,year
5/5/2021,827,1,15.87,8/4/2021,827,560139 SHIRT MEN GOODFELLOW L,1,6,Ali Taleb,827,SHIRT,MEN,0,18,6,JEANS,L,August,2021
5/5/2021,773,1,17.64,8/4/2021,773,545627 COTTON PANT MEN GOODFELLOW 32,1,7,Ali Taleb,773,COTTON PANT,MEN,0,20,7,NAVY,32,August,2021
5/6/2021,911,1,6.43,8/4/2021,911,GKAS2210TA T-SHIRT MEN GARFIELD XL,1,5,Ali Taleb,911,T-SHIRT,MEN,0,18,5,GREY,XL,August,2021
5/6/2021,1038,-1,-14.23,8/4/2021,1038,9HPVP6-P6 TAGLESS V NECK MEN HANES M,1,6,Ali Taleb,1038,TAGLESS V NECK,MEN,0,20,6,WHITE,M,August,2021
5/6/2021,827,-1,-17.07,8/4/2021,827,560139 SHIRT MEN GOODFELLOW L,1,6,Ali Taleb,827,SHIRT,MEN,0,18,6,JEANS,L,August,2021
5/6/2021,698,1,10.05,8/4/2021,698,00630-100275-P2 BOXER MEN PAIR OF THEIVES S,6,30,Ali Taleb,698,BOXER,MEN,0,3,5,MULTI,S,August,2021
5/6/2021,773,-1,-18.97,8/4/2021,773,545627 COTTON PANT MEN GOODFELLOW 32,1,7,Ali Taleb,773,COTTON PANT,MEN,0,20,7,NAVY,32,August,2021
5/6/2021,1055,1,9.14,8/4/2021,1055,9PMTW3-P3 T-SHIRT MEN HANES S,2,6,Ali Taleb,1055,T-SHIRT,MEN,0,10,3,WHITE,S,August,2021
5/6/2021,802,1,22.12,8/4/2021,802,563180 SPORT PANT MEN ALL IN MOTION M,1,6,Ali Taleb,802,SPORT PANT,MEN,0,25,6,NAVY,M,August,2021
5/6/2021,1388,1,18.28,6/5/2021,1388,M551VRTD SHIRT MEN RVCA M,1,6,Ali Taleb,1388,SHIRT,MEN,0,20,6,BLUE,M,June,2021
5/6/2021,1218,1,22.85,4/24/2021,1218,890811-322 SHORTS MEN NIKE S,1,7,Ali Taleb,1218,SHORTS,MEN,0,20,7,PISTACHIO,S,April,2021
5/6/2021,629,1,17.52,3/22/2021,629,53333 TSHIRT MEN CALVIN KLEIN L,1,6,Ali Taleb,629,TSHIRT,MEN,0,20,6,BROWN,L,March,2021
